Wall time,Step,Value
1687440608.4351516,6200,0.796875
1687440655.4034681,6225,0.765625
1687440690.8791976,6244,0.828125
1687440700.0358067,6249,0.765625
1687440743.634075,6272,0.90625
1687440752.8797002,6277,0.890625
1687440762.1063068,6282,0.8125
1687440784.7664392,6294,0.8125
1687440824.0967078,6315,0.8125
1687440912.543055,6362,0.828125
1687440951.924223,6383,0.765625
1687441021.6957455,6420,0.78125
1687441051.5405893,6436,0.84375
1687441160.7687724,6494,0.765625
1687441229.975129,6531,0.78125
1687441243.041043,6538,0.84375
1687441250.864572,6542,0.796875
1687441297.7455893,6567,0.84375
1687441346.8353384,6593,0.734375
1687441837.8428307,6674,0.828125
1687441843.4085515,6677,0.890625
1687441852.9099603,6682,0.703125
1687441946.8625405,6732,0.890625
1687441984.6649594,6752,0.765625
1687442012.6491323,6767,0.8125
1687442018.4988256,6770,0.828125
1687442022.2102344,6772,0.828125
1687442059.8198407,6792,0.796875
1687442071.0733042,6798,0.8125
1687442114.518941,6821,0.890625
1687442161.350593,6846,0.796875
1687442165.061085,6848,0.765625
1687442189.6956296,6861,0.8125
1687442265.4289641,6901,0.84375
1687442276.7907,6907,0.734375
1687442303.3851004,6921,0.828125
1687442323.7357953,6932,0.890625
1687442340.9926624,6941,0.84375
1687442427.5987508,6987,0.84375
1687442440.945031,6994,0.84375
1687442448.3103175,6998,0.859375
1687442459.6806805,7004,0.78125
1687442571.0005245,7063,0.828125
1687442621.8552828,7090,0.765625
1687442665.3007317,7113,0.84375
1687442797.3148897,7183,0.875
1687442816.5341558,7193,0.828125
1687442839.057662,7205,0.8125
1687442901.2074647,7238,0.8125
1687442916.353042,7246,0.875
1687442933.206149,7255,0.828125
1687443286.3288503,7262,0.828125
1687443361.798228,7302,0.828125
1687443386.0365584,7315,0.828125
1687443395.5454044,7320,0.828125
1687443406.6009045,7326,0.828125
1687443412.4306986,7329,0.796875
1687443555.918962,7405,0.8125
1687443557.7600515,7406,0.765625
1687443561.4876783,7408,0.78125
1687443640.8977964,7450,0.875
1687443646.4430177,7453,0.828125
1687443705.0789745,7484,0.828125
1687443746.895364,7506,0.828125
1687443756.2479138,7511,0.875
1687443762.088773,7514,0.90625
1687443771.318302,7519,0.859375
1687443848.8406062,7560,0.78125
1687443877.1927943,7575,0.796875
